time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-20,25.4,17.6,29.3,0.9,,,13.6,,1012.1,
2024-01-21,25.5,18.2,32.8,1.1,,,8.4,,1015.3,
2024-01-22,23.1,14.2,30.1,210.1,,,10.4,,1016.7,
2024-01-23,25.9,17.6,29.7,0.0,,,12.0,,1012.7,
2024-01-24,27.1,17.9,32.9,0.0,,,12.2,,1010.8,
2024-01-25,27.5,18.1,34.1,0.0,,,12.7,,1009.6,
2024-01-26,27.8,19.8,34.5,0.3,,,10.4,,1009.9,
2024-01-27,26.6,20.3,34.1,0.8,,,11.7,,1010.5,
2024-01-28,28.5,19.4,32.0,0.2,,,10.3,,1009.9,
2024-01-29,28.3,20.0,34.8,0.0,,,12.0,,1010.5,
2024-01-,35.7,0.0,,,10.1,,1009.4,
2024-02-03,26.4,21.3,36.30,29.4,20.8,33.9,0.0,,,13.6,,1010.3,
2024-01-31,28.5,19.8,35.2,0.3,,,11.9,,1011.5,
2024-02-01,29.5,22.0,34.1,0.0,,,13.0,,1011.1,
2024-02-02,29.7,22.04,4.1,,,15.4,,1012.4,
2024-02-04,25.4,19.8,31.1,0.0,,,14.3,,1012.5,
2024-02-05,26.5,20.2,33.6,0.0,,,13.0,,1008.8,
2024-02-06,27.0,18.0,36.2,0.0,,,11.2,,1009.3,
2024-02-07,28.0,20.1,31.6,0.6,,,12.2,,1008.3,
2024-02-08,25.1,20.8,28.0,5.2,,,17.9,,1009.8,
2024-02-09,22.2,19.8,28.6,0.8,,,9.6,,1011.9,
2024-02-10,22.4,19.8,25.0,2.0,,,13.5,,1012.6,
2024-02-11,24.6,20.0,29.3,0.0,,,10.9,,1009.9,
2024-02-12,24.7,20.8,30.0,5.5,,,18.7,,1016.3,
2024-02-13,21.7,13.7,28.1,0.0,,,10.9,,1020.9,
2024-02-14,23.6,15.1,28.2,0.0,,,11.1,,1015.0,
2024-02-15,23.7,15.8,30.4,0.0,,,10.1,,1012.5,
2024-02-16,26.7,18.2,32.1,0.0,,,10.3,,1010.3,
2024-02-17,27.1,19.1,33.4,5.3,,,15.9,,1010.8,
2024-02-18,24.0,16.7,32.1,25.9,,,15.1,,1016.0,
2024-02-19,25.0,17.5,29.4,0.0,,,10.4,,1012.8,
2024-02-20,26.8,19.2,30.2,0.0,,,9.0,,1008.4,
2024-02-21,26.6,19.7,33.1,0.1,,,11.5,,1007.9,
2024-02-22,22.0,19.3,31.1,3.0,,,17.8,,1007.4,
2024-02-23,20.6,14.2,22.7,0.0,,,13.9,,1017.6,
2024-02-24,21.4,15.0,23.9,0.8,,,10.5,,1018.6,
2024-02-25,21.5,14.6,27.9,0.0,,,9.6,,1017.1,
2024-02-26,24.4,17.8,27.6,0.2,,,8.3,,1013.7,
2024-02-27,24.6,17.8,27.1,1.1,,,9.1,,1011.7,
2024-02-28,25.0,18.9,30.8,0.2,,,11.9,,1010.8,
2024-02-29,23.2,18.8,29.2,3.3,,,10.6,,1014.7,
2024-03-01,24.3,20.2,28.7,0.0,,,8.7,,1011.1,
2024-03-02,22.2,18.0,26.0,0.4,,,16.0,,1013.1,
2024-03-03,21.7,16.2,24.9,0.0,,,10.3,,1016.9,
2024-03-04,21.3,13.6,29.6,0.0,,,9.6,,1016.4,
2024-03-05,22.1,16.2,27.6,0.0,,,10.4,,1015.6,
2024-03-06,23.2,15.5,27.0,0.0,,,9.9,,1009.3,
2024-03-07,23.9,17.1,29.6,0.0,,,8.8,,1008.1,
2024-03-08,24.9,17.2,30.6,0.0,,,11.0,,1005.5,
2024-03-09,23.3,20.5,32.4,0.2,,,15.4,,1011.8,
2024-03-10,22.2,18.6,27.7,0.0,,,10.0,,1009.4,
2024-03-11,25.9,20.3,29.8,0.0,,,13.1,,1008.6,
2024-03-12,26.1,20.2,32.4,0.3,,,13.0,,1007.6,
2024-03-13,25.4,20.0,32.3,0.0,,,14.5,,1009.7,
2024-03-14,22.9,17.8,29.8,0.0,,,13.1,,1010.4,
2024-03-15,21.3,12.8,26.2,0.0,,,10.8,,1009.4,
2024-03-16,21.2,14.1,28.5,0.0,,,10.5,,1009.2,
2024-03-17,21.6,17.7,27.0,0.0,,,9.3,,1008.9,
2024-03-18,20.7,17.2,25.6,0.0,,,11.6,,1008.6,
2024-03-19,21.0,15.4,27.3,0.0,,,9.4,,1006.5,
2024-03-20,24.2,16.6,31.6,0.3,,,18.6,,1001.8,
2024-03-21,15.8,11.2,31.7,0.3,,,11.3,,1019.5,
2024-03-22,17.9,10.0,23.8,0.0,,,10.0,,1016.9,
2024-03-23,19.8,10.9,27.0,0.0,,,8.4,,1011.8,
2024-03-24,22.4,14.4,26.2,0.0,,,12.3,,1015.0,
2024-03-25,23.0,15.7,26.4,0.0,,,11.0,,1014.8,
2024-03-26,23.0,17.8,28.6,0.0,,,11.0,,1012.4,
2024-03-27,23.8,19.6,27.4,5.6,,,9.6,,1014.9,
