time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-20,27.0,22.3,31.9,0.0,,,18.4,,1007.0,
2023-01-21,26.0,20.1,29.7,0.3,,,14.8,,1009.3,
2023-01-22,27.4,22.0,31.6,0.0,,,16.3,,1009.8,
2023-01-23,27.3,20.0,32.0,0.0,,,11.9,,1008.1,
2023-01-24,27.6,20.4,34.9,0.7,,,16.4,,1005.0,
2023-01-25,25.1,17.3,33.9,0.0,,,15.0,,1008.3,
2023-01-26,25.9,19.3,30.1,0.6,,,13.2,,1005.5,
2023-01-27,24.3,19.3,30.3,1.0,,,19.5,,1013.0,
2023-01-28,25.5,18.3,27.8,0.0,,,10.6,,1014.8,
2023-01-29,24.6,17.6,31.4,2.0,,,9.1,,1013.8,
2023-01-30,25.9,17.6,31.4,0.0,,,9.4,,1008.6,
2023-01-31,28.1,22.7,33.2,6.2,,,12.1,,1010.4,
2023-02-01,20.0,18.2,22.3,9.7,,,14.7,,1015.0,
2023-02-02,23.2,17.6,25.4,0.8,,,10.2,,1016.8,
2023-02-03,24.1,20.7,29.0,0.0,,,10.9,,1018.6,
2023-02-04,24.1,16.3,27.3,0.0,,,10.2,,1018.2,
2023-02-05,25.9,17.1,33.6,0.0,,,10.3,,1010.6,
2023-02-06,27.7,15.7,34.1,0.0,,,12.9,,1009.5,
2023-02-07,28.2,19.6,33.7,0.0,,,12.8,,1009.2,
2023-02-08,27.7,20.8,35.0,0.0,,,14.1,,1009.0,
2023-02-09,27.1,18.1,33.8,0.0,,,11.0,,1009.7,
2023-02-10,27.6,19.3,33.5,0.0,,,12.6,,1008.8,
2023-02-11,27.9,19.1,34.8,0.0,,,12.7,,1005.7,
2023-02-12,29.4,21.1,34.9,0.0,,,13.1,,1001.8,
2023-02-13,25.7,20.8,34.5,0.0,,,14.4,,1006.8,
2023-02-14,23.7,17.6,28.7,0.0,,,15.9,,1008.5,
2023-02-15,24.5,16.1,31.3,0.0,,,10.0,,1006.2,
2023-02-16,22.7,19.3,32.6,0.0,,,18.0,,1008.0,
2023-02-17,12.6,8.6,24.3,0.0,,,16.6,,1021.7,
2023-02-18,14.3,4.8,22.4,0.0,,,13.7,,1017.7,
2023-02-19,19.1,9.6,27.1,0.0,,,10.1,,1013.4,
2023-02-20,22.0,13.7,28.1,0.0,,,10.2,,1011.6,
2023-02-21,24.2,15.9,30.2,0.7,,,12.4,,1009.7,
2023-02-22,26.4,17.5,31.8,1.6,,,12.1,,1010.9,
2023-02-23,25.9,17.1,32.7,0.0,,,13.4,,1013.8,
2023-02-24,25.7,18.6,30.5,0.7,,,12.9,,1011.4,
2023-02-25,25.5,16.3,31.1,0.7,,,14.0,,1008.8,
2023-02-26,21.0,14.5,30.6,3.0,,,12.9,,1016.0,
2023-02-27,23.4,13.3,29.0,0.0,,,12.0,,1014.8,
2023-02-28,26.9,18.2,32.1,0.0,,,11.3,,1010.5,
2023-03-01,25.2,16.2,34.1,2.0,,,12.4,,1010.1,
2023-03-02,24.2,17.5,33.0,0.0,,,12.6,,1009.8,
2023-03-03,27.4,21.0,33.4,0.1,,,12.9,,1005.7,
2023-03-04,25.4,19.3,34.1,0.3,,,15.2,,1012.1,
2023-03-05,26.5,19.3,33.4,0.0,,,13.8,,1008.5,
2023-03-06,25.1,21.3,33.5,0.9,,,12.0,,1006.3,
2023-03-07,22.8,14.8,29.4,0.0,,,11.5,,1009.4,
2023-03-08,25.9,17.7,29.8,0.0,,,15.7,,1008.5,
2023-03-09,24.4,18.8,32.2,1.0,,,13.0,,1011.0,
2023-03-10,24.1,20.7,28.7,0.0,,,13.1,,1013.1,
2023-03-11,26.6,19.7,30.5,0.8,,,11.3,,1009.2,
2023-03-12,27.0,22.9,33.1,1.0,,,13.6,,1009.2,
2023-03-13,21.1,18.9,22.8,2.1,,,12.5,,1012.5,
2023-03-14,23.4,18.7,28.5,0.0,,,10.6,,1011.1,
2023-03-15,25.2,17.7,30.0,0.0,,,10.1,,1012.1,
2023-03-16,23.2,16.9,31.3,48.0,,,12.2,,1013.0,
2023-03-17,25.9,18.3,26.9,0.0,,,12.7,,1013.8,
2023-03-18,22.4,20.7,30.6,0.0,,,11.1,,1014.2,
2023-03-19,18.4,16.1,22.4,0.5,,,8.5,,1015.4,
2023-03-20,18.9,16.1,20.7,0.0,,,7.2,,1016.0,
2023-03-21,20.0,16.9,22.9,0.8,,,9.1,,1016.0,
2023-03-22,21.3,16.7,25.6,0.3,,,10.5,,1016.8,
2023-03-23,20.2,16.7,25.2,1.0,,,8.6,,1017.3,
2023-03-24,21.6,16.3,23.6,1.0,,,9.1,,1016.2,
2023-03-25,21.0,16.3,26.8,0.0,,,10.0,,1017.8,
2023-03-26,20.0,16.3,26.8,0.5,,,10.3,,1019.4,
2023-03-27,22.4,16.3,25.7,0.0,,,10.0,,1010.4,
