time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-20,23.7,18.6,28.8,2.2,,,16.1,,1007.1,
2023-01-21,22.8,17.3,29.4,3.7,,,11.3,,1009.4,
2023-01-22,22.6,17.3,27.5,0.0,,,14.6,,1010.0,
2023-01-23,24.4,17.2,31.1,0.2,,,13.4,,1007.9,
2023-01-24,25.7,19.0,33.7,1.7,,,12.9,,1005.5,
2023-01-25,23.1,16.3,29.4,0.0,,,12.7,,1008.5,
2023-01-26,23.9,18.0,29.5,2.2,,,11.3,,1006.0,
2023-01-27,21.1,17.8,26.3,7.1,,,15.9,,1013.2,
2023-01-28,21.9,14.6,28.4,0.0,,,10.3,,1014.6,
2023-01-29,22.3,18.2,27.1,4.4,,,10.6,,1013.4,
2023-01-30,24.2,17.9,31.7,0.0,,,10.7,,1008.1,
2023-01-31,23.5,20.1,27.5,6.1,,,12.6,,1010.5,
2023-02-01,19.1,16.3,22.2,2.2,,,14.1,,1015.2,
2023-02-02,21.0,14.8,27.4,0.1,,,8.8,,1016.4,
2023-02-03,19.6,17.2,25.3,7.4,,,6.5,,1018.8,
2023-02-04,21.5,14.9,30.3,0.0,,,9.1,,1017.9,
2023-02-05,23.4,16.3,31.1,0.0,,,11.7,,1010.6,
2023-02-06,24.6,17.8,34.5,0.0,,,11.3,,1009.8,
2023-02-07,25.1,17.6,34.5,0.0,,,11.3,,1009.5,
2023-02-08,25.0,18.8,32.3,0.5,,,12.1,,1009.1,
2023-02-09,26.1,18.8,33.7,0.0,,,10.5,,1009.6,
2023-02-10,26.6,19.7,35.3,0.0,,,13.0,,1008.7,
2023-02-11,27.2,19.7,34.3,0.0,,,10.6,,1005.7,
2023-02-12,27.6,20.7,34.0,0.0,,,12.6,,1001.9,
2023-02-13,23.2,17.7,28.7,0.0,,,16.5,,1006.7,
2023-02-14,22.1,15.7,28.7,0.0,,,14.4,,1008.9,
2023-02-15,22.9,12.5,32.5,0.0,,,9.0,,1006.3,
2023-02-16,19.8,13.3,25.5,0.0,,,22.2,,1008.1,
2023-02-17,10.4,5.9,14.8,0.0,,,14.7,,1021.8,
2023-02-18,14.1,3.8,22.9,0.0,,,13.5,,1017.6,
2023-02-19,19.2,10.0,27.9,0.0,,,10.6,,1013.1,
2023-02-20,21.0,12.9,29.6,0.0,,,10.3,,1011.5,
2023-02-21,22.6,13.1,32.3,0.0,,,10.5,,1009.6,
2023-02-22,23.9,13.7,33.9,0.0,,,11.3,,1010.3,
2023-02-23,23.4,17.6,30.1,0.0,,,14.0,,1013.7,
2023-02-24,23.3,15.5,32.6,0.0,,,10.8,,1011.3,
2023-02-25,23.3,16.3,31.5,0.0,,,12.1,,1008.8,
2023-02-26,20.8,14.6,26.0,0.0,,,14.4,,1015.9,
2023-02-27,21.1,11.3,29.9,0.0,,,10.7,,1014.8,
2023-02-28,24.9,11.7,35.5,0.0,,,9.8,,1010.3,
2023-03-01,25.7,16.9,32.4,3.0,,,12.1,,1009.8,
2023-03-02,25.0,16.1,32.1,0.0,,,13.7,,1009.7,
2023-03-03,25.7,18.4,35.5,0.0,,,11.1,,1005.8,
2023-03-04,24.5,16.9,31.1,0.0,,,12.7,,1011.9,
2023-03-05,25.4,18.5,32.7,0.0,,,14.7,,1008.5,
2023-03-06,25.2,19.3,31.9,0.0,,,13.2,,1005.8,
2023-03-07,23.0,15.1,29.9,0.2,,,13.6,,1009.4,
2023-03-08,22.9,15.9,33.5,1.2,,,12.0,,1009.0,
2023-03-09,21.6,15.9,27.1,0.6,,,9.8,,1011.2,
2023-03-10,21.6,16.8,27.3,0.0,,,14.6,,1012.8,
2023-03-11,23.5,17.5,32.9,1.8,,,10.0,,1009.1,
2023-03-12,23.3,19.5,30.3,3.3,,,10.0,,1009.5,
2023-03-13,20.0,17.1,24.7,1.7,,,12.0,,1012.4,
2023-03-14,21.1,14.9,29.3,0.1,,,8.6,,1010.9,
2023-03-15,21.9,15.9,28.6,1.2,,,10.6,,1012.1,
2023-03-16,21.7,15.7,28.0,0.7,,,11.7,,1012.8,
2023-03-17,21.5,17.6,29.9,5.4,,,9.9,,1014.2,
2023-03-18,20.2,17.6,23.7,2.7,,,9.8,,1014.3,
2023-03-19,17.5,16.2,19.9,3.9,,,12.2,,1014.9,
2023-03-20,18.5,15.0,23.2,1.3,,,8.4,,1015.4,
2023-03-21,19.2,15.7,26.9,1.3,,,10.3,,1015.7,
2023-03-22,19.0,16.2,25.9,0.6,,,10.0,,1016.2,
2023-03-23,18.7,15.5,24.4,6.1,,,7.7,,1017.0,
2023-03-24,19.0,15.0,27.1,0.3,,,8.1,,1016.2,
2023-03-25,18.1,13.9,25.6,6.5,,,10.9,,1017.6,
2023-03-26,17.3,14.3,21.7,0.1,,,11.8,,1019.3,
2023-03-27,18.7,11.7,27.3,0.0,,,10.2,,1010.4,
