Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha,tavg_avg_7d,tmin_avg_7d,tmax_avg_7d,prcp_avg_7d,wspd_avg_7d,pres_avg_7d
Cabernet,San Carlos,15,14.05,3.19,11.05,56,2023-01-30,23.2,17.3,29.36,2.23,12.44,1009.87
Cabernet,San Carlos,20,15.13,3.12,10.2,51,2023-02-04,21.66,17.01,27.09,2.89,10.51,1013.86
Cabernet,San Carlos,25,13.92,3.2,10.0,46,2023-02-09,22.89,16.77,30.77,1.14,10.11,1013.16
Cabernet,San Carlos,30,15.63,3.21,9.07,41,2023-02-14,25.83,19.0,33.26,0.07,12.37,1007.31
Cabernet,San Carlos,35,17.5,3.22,9.97,36,2023-02-19,20.01,12.8,26.73,0.0,14.7,1010.19
Cabernet,San Carlos,40,17.8,3.24,8.5,31,2023-02-24,19.23,11.0,27.36,0.0,12.13,1013.94
Cabernet,San Carlos,45,18.17,3.34,8.07,26,2023-03-01,22.96,14.39,31.36,0.0,11.87,1012.16
Cabernet,San Carlos,50,20.42,3.34,8.19,21,2023-03-06,24.61,15.69,32.74,0.43,12.11,1010.11
Cabernet,San Carlos,55,21.22,3.39,7.83,16,2023-03-11,23.46,16.91,30.5,0.29,12.94,1009.8
Cabernet,San Carlos,60,22.31,3.57,6.81,11,2023-03-16,21.86,16.8,28.6,1.24,10.8,1011.14
Cabernet,San Carlos,65,22.86,3.54,6.04,6,2023-03-21,20.34,16.13,26.09,2.19,10.17,1013.51
Cabernet,San Carlos,71,24.46,3.51,5.82,0,2023-03-27,18.54,15.09,24.97,2.31,9.6,1016.77
Syrah,Agrelo,15,14.57,3.16,9.94,25,2023-01-30,25.26,18.39,30.99,0.61,13.67,1009.79
Syrah,Agrelo,20,16.76,3.32,9.5,20,2023-02-04,23.99,18.46,28.14,2.67,11.0,1014.0
Syrah,Agrelo,25,19.39,3.32,7.55,15,2023-02-09,25.34,17.76,30.66,0.11,11.63,1013.13
Syrah,Agrelo,30,20.15,3.37,7.23,10,2023-02-14,27.16,19.33,33.81,0.0,12.96,1007.29
Syrah,Agrelo,35,22.18,3.52,6.26,5,2023-02-19,21.34,14.97,29.31,0.0,14.53,1010.1
Syrah,Agrelo,40,24.7,3.57,6.67,0,2023-02-24,20.14,11.96,27.59,0.33,12.64,1014.11
Malbec,Agrelo,15,13.68,3.23,10.73,37,2023-01-30,25.26,18.39,30.99,0.61,13.67,1009.79
Malbec,Agrelo,20,14.68,3.16,9.82,32,2023-02-04,23.99,18.46,28.14,2.67,11.0,1014.0
Malbec,Agrelo,25,16.58,3.14,8.92,27,2023-02-09,25.34,17.76,30.66,0.11,11.63,1013.13
Malbec,Agrelo,30,19.05,3.26,8.49,22,2023-02-14,27.16,19.33,33.81,0.0,12.96,1007.29
Malbec,Agrelo,35,18.85,3.37,8.0,17,2023-02-19,21.34,14.97,29.31,0.0,14.53,1010.1
Malbec,Agrelo,40,20.4,3.32,7.81,12,2023-02-24,20.14,11.96,27.59,0.33,12.64,1014.11
Malbec,Agrelo,45,21.31,3.46,6.16,7,2023-03-01,24.47,16.0,30.61,0.86,12.66,1012.31
Malbec,Agrelo,52,25.25,3.65,4.84,0,2023-03-08,24.73,17.99,32.49,0.47,12.91,1008.84
Cabernet,Drummond,15,13.15,3.11,10.6,50,2023-01-30,25.76,18.89,31.49,0.61,13.67,1009.79
Cabernet,Drummond,20,14.67,3.16,10.37,45,2023-02-04,24.49,18.96,28.64,2.67,11.0,1014.0
Cabernet,Drummond,25,15.34,3.2,9.09,40,2023-02-09,25.84,18.26,31.16,0.11,11.63,1013.13
Cabernet,Drummond,30,16.92,3.25,9.53,35,2023-02-14,27.66,19.83,34.31,0.0,12.96,1007.29
Cabernet,Drummond,35,16.09,3.37,8.73,30,2023-02-19,21.84,15.47,29.81,0.0,14.53,1010.1
Cabernet,Drummond,40,19.17,3.26,8.49,25,2023-02-24,20.64,12.46,28.09,0.33,12.64,1014.11
Cabernet,Drummond,45,19.17,3.31,8.42,20,2023-03-01,24.97,16.5,31.11,0.86,12.66,1012.31
Cabernet,Drummond,50,20.67,3.4,7.65,15,2023-03-06,25.57,17.83,32.73,0.34,12.89,1010.21
Cabernet,Drummond,55,22.09,3.43,7.03,10,2023-03-11,24.89,18.84,31.59,0.31,13.47,1009.84
Cabernet,Drummond,60,24.12,3.46,6.52,5,2023-03-16,24.54,19.63,29.4,0.7,12.03,1011.17
Cabernet,Drummond,65,24.53,3.56,6.36,0,2023-03-21,22.49,17.79,27.2,6.93,10.34,1013.66
Syrah,Drummond,15,14.44,3.07,10.54,43,2023-01-30,25.76,18.89,31.49,0.61,13.67,1009.79
Syrah,Drummond,20,14.45,3.17,10.03,38,2023-02-04,24.49,18.96,28.64,2.67,11.0,1014.0
Syrah,Drummond,25,16.2,3.24,9.9,33,2023-02-09,25.84,18.26,31.16,0.11,11.63,1013.13
Syrah,Drummond,30,17.47,3.25,9.19,28,2023-02-14,27.66,19.83,34.31,0.0,12.96,1007.29
Syrah,Drummond,35,19.04,3.24,8.56,23,2023-02-19,21.84,15.47,29.81,0.0,14.53,1010.1
Syrah,Drummond,40,20.01,3.33,8.27,18,2023-02-24,20.64,12.46,28.09,0.33,12.64,1014.11
Syrah,Drummond,45,20.79,3.39,7.29,13,2023-03-01,24.97,16.5,31.11,0.86,12.66,1012.31
Syrah,Drummond,50,22.08,3.38,6.4,8,2023-03-06,25.57,17.83,32.73,0.34,12.89,1010.21
Syrah,Drummond,58,24.07,3.43,6.01,0,2023-03-14,24.56,19.07,29.5,0.7,12.96,1010.41
Malbec,Agrelo,15,14.05,3.19,9.74,26,2023-01-30,25.26,18.39,30.99,0.61,13.67,1009.79
Malbec,Agrelo,20,17.05,3.19,9.07,21,2023-02-04,23.99,18.46,28.14,2.67,11.0,1014.0
Malbec,Agrelo,25,19.35,3.34,8.36,16,2023-02-09,25.34,17.76,30.66,0.11,11.63,1013.13
Malbec,Agrelo,30,20.29,3.31,7.56,11,2023-02-14,27.16,19.33,33.81,0.0,12.96,1007.29
Malbec,Agrelo,35,21.13,3.48,6.22,6,2023-02-19,21.34,14.97,29.31,0.0,14.53,1010.1
Malbec,Agrelo,41,25.25,3.65,4.84,0,2023-02-25,22.01,13.39,28.47,0.43,12.11,1012.64
Syrah,Drummond,15,13.6,3.07,10.93,44,2023-01-30,25.76,18.89,31.49,0.61,13.67,1009.79
Syrah,Drummond,20,14.7,3.1,9.83,39,2023-02-04,24.49,18.96,28.64,2.67,11.0,1014.0
Syrah,Drummond,25,15.72,3.23,10.16,34,2023-02-09,25.84,18.26,31.16,0.11,11.63,1013.13
Cabernet,San Carlos,15,14.05,3.19,11.05,56,2023-01-30,23.2,17.3,29.36,2.23,12.44,1009.87
Cabernet,San Carlos,20,15.13,3.12,10.2,51,2023-02-04,21.66,17.01,27.09,2.89,10.51,1013.86
Cabernet,San Carlos,25,13.92,3.2,10.0,46,2023-02-09,22.89,16.77,30.77,1.14,10.11,1013.16
Cabernet,San Carlos,30,15.63,3.21,9.07,41,2023-02-14,25.83,19.0,33.26,0.07,12.37,1007.31
Cabernet,San Carlos,35,17.5,3.22,9.97,36,2023-02-19,20.01,12.8,26.73,0.0,14.7,1010.19
Cabernet,San Carlos,40,17.8,3.24,8.5,31,2023-02-24,19.23,11.0,27.36,0.0,12.13,1013.94
Cabernet,San Carlos,45,18.17,3.34,8.07,26,2023-03-01,22.96,14.39,31.36,0.0,11.87,1012.16
Cabernet,San Carlos,50,20.42,3.34,8.19,21,2023-03-06,24.61,15.69,32.74,0.43,12.11,1010.11
Cabernet,San Carlos,55,21.22,3.39,7.83,16,2023-03-11,23.46,16.91,30.5,0.29,12.94,1009.8
Cabernet,San Carlos,60,22.31,3.57,6.81,11,2023-03-16,21.86,16.8,28.6,1.24,10.8,1011.14
Cabernet,San Carlos,65,22.86,3.54,6.04,6,2023-03-21,20.34,16.13,26.09,2.19,10.17,1013.51
Cabernet,San Carlos,71,24.46,3.51,5.82,0,2023-03-27,18.54,15.09,24.97,2.31,9.6,1016.77
Syrah,Agrelo,15,14.57,3.16,9.94,25,2023-01-30,25.26,18.39,30.99,0.61,13.67,1009.79
Syrah,Agrelo,20,16.76,3.32,9.5,20,2023-02-04,23.99,18.46,28.14,2.67,11.0,1014.0
Syrah,Agrelo,25,19.39,3.32,7.55,15,2023-02-09,25.34,17.76,30.66,0.11,11.63,1013.13
Syrah,Agrelo,30,20.15,3.37,7.23,10,2023-02-14,27.16,19.33,33.81,0.0,12.96,1007.29
Syrah,Agrelo,35,22.18,3.52,6.26,5,2023-02-19,21.34,14.97,29.31,0.0,14.53,1010.1
Syrah,Agrelo,40,24.7,3.57,6.67,0,2023-02-24,20.14,11.96,27.59,0.33,12.64,1014.11
Malbec,Agrelo,15,13.68,3.23,10.73,37,2023-01-30,25.26,18.39,30.99,0.61,13.67,1009.79
Malbec,Agrelo,20,14.68,3.16,9.82,32,2023-02-04,23.99,18.46,28.14,2.67,11.0,1014.0
Malbec,Agrelo,25,16.58,3.14,8.92,27,2023-02-09,25.34,17.76,30.66,0.11,11.63,1013.13
Malbec,Agrelo,30,19.05,3.26,8.49,22,2023-02-14,27.16,19.33,33.81,0.0,12.96,1007.29
Malbec,Agrelo,35,18.85,3.37,8.0,17,2023-02-19,21.34,14.97,29.31,0.0,14.53,1010.1
Malbec,Agrelo,40,20.4,3.32,7.81,12,2023-02-24,20.14,11.96,27.59,0.33,12.64,1014.11
Malbec,Agrelo,45,21.31,3.46,6.16,7,2023-03-01,24.47,16.0,30.61,0.86,12.66,1012.31
Malbec,Agrelo,52,25.25,3.65,4.84,0,2023-03-08,24.73,17.99,32.49,0.47,12.91,1008.84
Cabernet,Drummond,15,13.15,3.11,10.6,50,2023-01-30,25.76,18.89,31.49,0.61,13.67,1009.79
Cabernet,Drummond,20,14.67,3.16,10.37,45,2023-02-04,24.49,18.96,28.64,2.67,11.0,1014.0
Cabernet,Drummond,25,15.34,3.2,9.09,40,2023-02-09,25.84,18.26,31.16,0.11,11.63,1013.13
Cabernet,Drummond,30,16.92,3.25,9.53,35,2023-02-14,27.66,19.83,34.31,0.0,12.96,1007.29
Cabernet,Drummond,35,16.09,3.37,8.73,30,2023-02-19,21.84,15.47,29.81,0.0,14.53,1010.1
Cabernet,Drummond,40,19.17,3.26,8.49,25,2023-02-24,20.64,12.46,28.09,0.33,12.64,1014.11
Cabernet,Drummond,45,19.17,3.31,8.42,20,2023-03-01,24.97,16.5,31.11,0.86,12.66,1012.31
Cabernet,Drummond,50,20.67,3.4,7.65,15,2023-03-06,25.57,17.83,32.73,0.34,12.89,1010.21
Cabernet,Drummond,55,22.09,3.43,7.03,10,2023-03-11,24.89,18.84,31.59,0.31,13.47,1009.84
Cabernet,Drummond,60,24.12,3.46,6.52,5,2023-03-16,24.54,19.63,29.4,0.7,12.03,1011.17
Cabernet,Drummond,65,24.53,3.56,6.36,0,2023-03-21,22.49,17.79,27.2,6.93,10.34,1013.66
Syrah,Drummond,15,14.44,3.07,10.54,43,2023-01-30,25.76,18.89,31.49,0.61,13.67,1009.79
Syrah,Drummond,20,14.45,3.17,10.03,38,2023-02-04,24.49,18.96,28.64,2.67,11.0,1014.0
Syrah,Drummond,25,16.2,3.24,9.9,33,2023-02-09,25.84,18.26,31.16,0.11,11.63,1013.13
Syrah,Drummond,30,17.47,3.25,9.19,28,2023-02-14,27.66,19.83,34.31,0.0,12.96,1007.29
Syrah,Drummond,35,19.04,3.24,8.56,23,2023-02-19,21.84,15.47,29.81,0.0,14.53,1010.1
Syrah,Drummond,30,17.38,3.26,9.69,29,2023-02-14,27.66,19.83,34.31,0.0,12.96,1007.29
Syrah,Drummond,35,18.79,3.31,8.3,24,2023-02-19,21.84,15.47,29.81,0.0,14.53,1010.1
Syrah,Drummond,40,19.65,3.34,7.96,19,2023-02-24,20.64,12.46,28.09,0.33,12.64,1014.11
Syrah,Drummond,45,21.34,3.35,7.58,14,2023-03-01,24.97,16.5,31.11,0.86,12.66,1012.31
Syrah,Drummond,50,22.34,3.39,6.67,9,2023-03-06,25.57,17.83,32.73,0.34,12.89,1010.21
Syrah,Drummond,59,22.98,3.44,6.75,0,2023-03-15,24.64,19.63,29.37,0.7,12.83,1010.66
Malbec,San Carlos,15,14.45,3.13,10.81,51,2023-01-30,23.2,17.3,29.36,2.23,12.44,1009.87
Malbec,San Carlos,20,14.82,3.13,9.86,46,2023-02-04,21.66,17.01,27.09,2.89,10.51,1013.86
Malbec,San Carlos,25,15.39,3.2,9.24,41,2023-02-09,22.89,16.77,30.77,1.14,10.11,1013.16
Malbec,San Carlos,30,16.55,3.28,9.0,36,2023-02-14,25.83,19.0,33.26,0.07,12.37,1007.31
Malbec,San Carlos,35,17.64,3.31,8.99,31,2023-02-19,20.01,12.8,26.73,0.0,14.7,1010.19
Malbec,San Carlos,40,18.83,3.29,8.03,26,2023-02-24,19.23,11.0,27.36,0.0,12.13,1013.94
