Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha
Syrah,Agrelo,15,14.13,3.21,10.06,39,30/01
Syrah,Agrelo,20,15.12,3.08,9.63,34,04/02
Syrah,Agrelo,25,16.68,3.19,9.25,29,09/02
Syrah,Agrelo,30,17.7,3.28,8.54,24,14/02
Syrah,Agrelo,35,18.81,3.32,8.18,19,19/02
Syrah,Agrelo,40,19.99,3.38,7.55,14,24/02
Syrah,Agrelo,45,22.23,3.41,6.84,9,01/03
Syrah,Agrelo,54,23.92,3.36,6.78,0,10/03
Cabernet,Agrelo,15,13.86,3.15,9.96,33,30/01
Cabernet,Agrelo,20,15.83,3.2,9.62,28,04/02
Cabernet,Agrelo,25,16.66,3.32,9.71,23,09/02
Cabernet,Agrelo,30,19.35,3.32,8.51,18,14/02
Cabernet,Agrelo,35,19.7,3.29,7.86,13,19/02
Cabernet,Agrelo,40,21.4,3.35,6.74,8,24/02
Cabernet,Agrelo,48,22.56,3.48,6.55,0,03/03
Syrah,Drummond,15,15.11,3.2,10.05,30,30/01
Syrah,Drummond,20,16.55,3.23,9.28,25,04/02
Syrah,Drummond,25,18.36,3.27,8.44,20,09/02
Syrah,Drummond,30,19.94,3.4,7.53,15,14/02
Syrah,Drummond,35,21.21,3.29,7.65,10,19/02
Syrah,Drummond,40,21.98,3.48,6.48,5,24/02
Syrah,Drummond,45,24.17,3.43,5.92,0,01/03
Syrah,Agrelo,15,15.12,3.17,9.84,30,30/01
Syrah,Agrelo,20,15.47,3.18,9.56,25,04/02
Syrah,Agrelo,25,17.67,3.26,8.82,20,09/02
Syrah,Agrelo,30,19.91,3.35,8.09,15,14/02
Syrah,Agrelo,35,21.57,3.4,7.24,10,19/02
Syrah,Agrelo,40,22.78,3.43,6.56,5,24/02
Syrah,Agrelo,45,24.7,3.57,6.67,0,01/03
Malbec,Agrelo,15,15.06,3.2,9.86,28,30/01
Malbec,Agrelo,20,16.62,3.13,8.93,23,04/02
Malbec,Agrelo,25,18.84,3.29,8.01,18,09/02
Malbec,Agrelo,30,19.23,3.3,7.84,13,14/02
Malbec,Agrelo,35,21.18,3.37,7.12,8,19/02
Malbec,Agrelo,43,25.25,3.65,4.84,0,27/02
Cabernet,San Carlos,15,12.97,3.05,10.44,51,30/01
Cabernet,San Carlos,20,14.17,3.22,10.17,46,04/02
Cabernet,San Carlos,25,15.41,3.22,9.89,41,09/02
Cabernet,San Carlos,30,16.38,3.17,9.51,36,14/02
Cabernet,San Carlos,35,17.64,3.21,8.61,31,19/02
Cabernet,San Carlos,40,18.93,3.33,8.15,26,24/02
Cabernet,San Carlos,45,19.41,3.33,8.09,21,01/03
Cabernet,San Carlos,50,21.23,3.38,7.81,16,06/03
Cabernet,San Carlos,55,22.1,3.43,6.57,11,11/03
Cabernet,San Carlos,60,22.21,3.49,6.03,6,16/03
Cabernet,San Carlos,66,23.85,3.54,6.14,0,22/03
Syrah,Agrelo,15,14.78,3.18,10.04,33,30/01
Syrah,Agrelo,20,16.37,3.25,10.04,28,04/02
Syrah,Agrelo,25,17.58,3.25,8.83,23,09/02
Syrah,Agrelo,30,17.78,3.32,8.25,18,14/02
Syrah,Agrelo,35,19.54,3.36,8.03,13,19/02
Syrah,Agrelo,40,21.3,3.37,7.33,8,24/02
Syrah,Agrelo,48,24.7,3.57,6.67,0,04/03
Cabernet,San Carlos,15,13.54,3.13,10.88,51,30/01
Cabernet,San Carlos,20,14.25,3.22,10.1,46,04/02
Cabernet,San Carlos,25,16.66,3.22,9.47,41,09/02
Cabernet,San Carlos,30,15.83,3.25,9.21,36,14/02
Cabernet,San Carlos,35,17.78,3.29,8.8,31,19/02
Cabernet,San Carlos,40,18.06,3.23,8.23,26,24/02
Cabernet,San Carlos,45,19.97,3.35,7.54,21,01/03
Cabernet,San Carlos,50,20.69,3.4,7.19,16,06/03
Cabernet,San Carlos,55,21.74,3.42,6.66,11,11/03
Cabernet,San Carlos,60,22.91,3.48,6.87,6,16/03
Cabernet,San Carlos,66,24.31,3.42,5.81,0,22/03
Syrah,San Carlos,15,14.22,3.33,10.47,38,30/01
Syrah,San Carlos,20,15.85,3.24,9.93,33,04/02
Syrah,San Carlos,25,16.45,3.27,8.94,28,09/02
Syrah,San Carlos,30,17.81,3.26,8.63,23,14/02
Syrah,San Carlos,35,20.4,3.24,8.24,18,19/02
Syrah,San Carlos,40,19.76,3.35,7.8,13,24/02
Syrah,San Carlos,45,21.92,3.37,6.69,8,01/03
Syrah,San Carlos,53,23.55,3.44,6.4,0,09/03
Malbec,San Carlos,15,13.86,3.16,10.64,51,30/01
Malbec,San Carlos,20,14.46,3.2,9.99,46,04/02
Malbec,San Carlos,25,15.08,3.11,9.5,41,09/02
Malbec,San Carlos,30,17.19,3.21,9.18,36,14/02
Malbec,San Carlos,35,17.58,3.18,9.1,31,19/02
Malbec,San Carlos,40,19.12,3.32,8.86,26,24/02
Malbec,San Carlos,45,18.88,3.43,7.69,21,01/03
Malbec,San Carlos,50,19.97,3.37,8.02,16,06/03
Malbec,San Carlos,55,21.66,3.37,6.61,11,11/03
Malbec,San Carlos,60,22.67,3.35,6.16,6,16/03
Malbec,San Carlos,66,25.57,3.84,3.67,0,22/03
Cabernet,Drummond,15,13.33,3.22,10.6,44,30/01
Cabernet,Drummond,20,15.03,3.18,10.32,39,04/02
Cabernet,Drummond,25,16.2,3.25,10.0,34,09/02
Cabernet,Drummond,30,17.23,3.24,9.08,29,14/02
Cabernet,Drummond,35,18.87,3.32,8.76,24,19/02
Cabernet,Drummond,40,19.16,3.3,7.77,19,24/02
Cabernet,Drummond,45,20.04,3.39,7.29,14,01/03
Cabernet,Drummond,50,22.48,3.36,7.38,9,06/03
Cabernet,Drummond,59,22.56,3.4,6.16,0,15/03
Syrah,San Carlos,15,14.27,3.15,10.61,40,30/01
Syrah,San Carlos,20,15.41,3.14,9.65,35,04/02
Syrah,San Carlos,25,16.74,3.26,9.27,30,09/02
Syrah,San Carlos,30,17.7,3.34,8.55,25,14/02
Syrah,San Carlos,35,19.18,3.31,8.12,20,19/02
Syrah,San Carlos,40,20.73,3.4,7.88,15,24/02
Syrah,San Carlos,45,22.11,3.41,7.3,10,01/03
Syrah,San Carlos,50,22.57,3.47,6.51,5,06/03
Syrah,San Carlos,55,24.05,3.53,5.75,0,11/03
Syrah,Agrelo,15,15.93,3.16,9.98,28,30/01
Syrah,Agrelo,20,16.67,3.32,9.48,23,04/02
Syrah,Agrelo,25,18.39,3.29,8.53,18,09/02
Syrah,Agrelo,30,19.05,3.33,8.08,13,14/02
Syrah,Agrelo,35,21.28,3.41,6.76,8,19/02
Syrah,Agrelo,43,24.7,3.57,6.67,0,27/02
Malbec,San Carlos,15,13.24,3.13,11.01,48,30/01
Malbec,San Carlos,20,14.87,3.15,10.09,43,04/02
Malbec,San Carlos,25,15.05,3.2,9.53,38,09/02
Malbec,San Carlos,30,16.83,3.2,9.3,33,14/02
Malbec,San Carlos,35,18.54,3.27,8.79,28,19/02
Malbec,San Carlos,40,19.23,3.3,8.26,23,24/02
Malbec,San Carlos,45,20.01,3.36,7.48,18,01/03
Malbec,San Carlos,50,21.12,3.42,7.67,13,06/03
Malbec,San Carlos,55,22.7,3.54,6.53,8,11/03
Malbec,San Carlos,63,25.57,3.84,3.67,0,19/03
Cabernet,San Carlos,15,12.78,3.08,10.68,51,30/01
Cabernet,San Carlos,20,14.41,3.25,10.47,46,04/02
Cabernet,San Carlos,25,15.01,3.14,9.87,41,09/02
Cabernet,San Carlos,30,15.7,3.32,9.63,36,14/02
Cabernet,San Carlos,35,17.19,3.18,9.22,31,19/02
Cabernet,San Carlos,40,18.43,3.36,7.89,26,24/02
Cabernet,San Carlos,45,19.25,3.34,7.92,21,01/03
Cabernet,San Carlos,50,20.38,3.41,7.13,16,06/03
Cabernet,San Carlos,55,21.6,3.42,7.15,11,11/03
Cabernet,San Carlos,60,23.08,3.4,6.09,6,16/03
Cabernet,San Carlos,66,24.43,3.51,5.87,0,22/03
Cabernet,San Carlos,15,13.75,3.09,10.72,49,30/01
Cabernet,San Carlos,20,15.05,3.03,9.93,44,04/02
Cabernet,San Carlos,25,15.77,3.26,9.72,39,09/02
Cabernet,San Carlos,30,16.59,3.31,9.57,34,14/02
Cabernet,San Carlos,35,17.22,3.28,8.83,29,19/02
Cabernet,San Carlos,40,19.61,3.36,8.22,24,24/02
Cabernet,San Carlos,45,19.95,3.26,8.07,19,01/03
Cabernet,San Carlos,50,21.26,3.45,7.27,14,06/03
Cabernet,San Carlos,55,22.1,3.41,6.5,9,11/03
Cabernet,San Carlos,64,22.82,3.38,6.65,0,20/03
Syrah,Agrelo,15,13.68,3.24,9.77,31,30/01
Syrah,Agrelo,20,16.37,3.18,9.89,26,04/02
Syrah,Agrelo,25,17.63,3.33,8.76,21,09/02
Syrah,Agrelo,30,19.31,3.36,7.93,16,14/02
Syrah,Agrelo,35,20.01,3.32,7.45,11,19/02
Syrah,Agrelo,40,21.93,3.33,6.94,6,24/02
Syrah,Agrelo,46,24.7,3.57,6.67,0,02/03
Cabernet,Drummond,15,12.94,3.1,10.23,47,30/01
Cabernet,Drummond,20,14.61,3.12,10.07,42,04/02
