muestra_id,lote_id,vendimia,fecha_medicion,tipo_muestra,numero_muestra,variedad,vinedo,Brix,pH,acidez_total_g_l,pasado_tavg_7d,pasado_tmin_7d,pasado_tmax_7d,pasado_prcp_sum_7d,pasado_wspd_7d,pasado_radiacion_sum_7d,pasado_dias_calor_7d,futuro_historico_tavg_7d,futuro_historico_tmin_7d,futuro_historico_tmax_7d,futuro_historico_prcp_sum_7d,futuro_historico_wspd_7d,futuro_historico_radiacion_sum_7d,futuro_historico_dias_calor_7d,dias_hasta_cosecha
Agrelo_Malbec_001_2022_20220204,Agrelo_Malbec_001,2022,2022-02-04,seguimiento,1,Malbec,Agrelo,17.9703,3.1589,8.5411,22.9143,16.6714,29.1429,3.0,7.5,194.1,0,21.0429,14.4429,27.9,4.8,8.3,170.34,0,26
Agrelo_Malbec_001_2022_20220213,Agrelo_Malbec_001,2022,2022-02-13,seguimiento,2,Malbec,Agrelo,19.9577,3.3371,7.2379,20.9571,14.3857,27.9,6.2,8.7429,177.83,0,22.9857,15.6429,30.4286,1.4,8.8,189.9,0,17
Agrelo_Malbec_001_2022_20220222,Agrelo_Malbec_001,2022,2022-02-22,seguimiento,3,Malbec,Agrelo,22.0411,3.4609,5.9859,22.3857,16.2,28.8714,15.1,9.7429,171.31,0,19.6143,14.9857,25.2714,19.0,8.3286,147.72,0,8
Agrelo_Malbec_001_2022_20220302,Agrelo_Malbec_001,2022,2022-03-02,cosecha,4,Malbec,Agrelo,24.2826,3.5779,4.6282,20.4429,14.9714,26.9,11.4,7.8571,164.33,0,21.7571,16.3286,28.1,5.7,9.4286,166.34,0,0
Agrelo_Malbec_002_2022_20220205,Agrelo_Malbec_002,2022,2022-02-05,seguimiento,1,Malbec,Agrelo,16.482,3.216,8.9568,22.8286,16.5571,29.0714,4.4,7.3143,195.88,0,20.7429,14.5714,27.2,8.5,8.9714,160.57,0,33
Agrelo_Malbec_002_2022_20220213,Agrelo_Malbec_002,2022,2022-02-13,seguimiento,2,Malbec,Agrelo,18.1917,3.2437,7.6686,20.9571,14.3857,27.9,6.2,8.7429,177.83,0,22.9857,15.6429,30.4286,1.4,8.8,189.9,0,25
Agrelo_Malbec_002_2022_20220221,Agrelo_Malbec_002,2022,2022-02-21,seguimiento,3,Malbec,Agrelo,20.9876,3.3754,6.277,23.4143,16.4143,30.5143,1.7,8.7,185.7,0,18.8714,14.7714,24.2143,32.3,9.0429,134.65,0,17
Agrelo_Malbec_002_2022_20220301,Agrelo_Malbec_002,2022,2022-03-01,seguimiento,4,Malbec,Agrelo,21.8723,3.4868,5.2557,19.6143,14.9857,25.2714,19.0,8.3286,147.72,0,21.8143,16.1714,28.4143,5.7,9.3,167.81,0,9
Agrelo_Malbec_002_2022_20220310,Agrelo_Malbec_002,2022,2022-03-10,cosecha,5,Malbec,Agrelo,24.3834,3.6098,3.8627,21.3429,16.2429,27.2286,5.7,9.9,160.52,0,20.4571,13.0714,28.3429,0.8,7.7571,161.96,0,0
Agrelo_Malbec_003_2022_20220204,Agrelo_Malbec_003,2022,2022-02-04,seguimiento,1,Malbec,Agrelo,17.7942,3.2328,8.4038,22.9143,16.6714,29.1429,3.0,7.5,194.1,0,21.0429,14.4429,27.9,4.8,8.3,170.34,0,25
