muestra_id,lote_id,vendimia,fecha_medicion,tipo_muestra,numero_muestra,variedad,vinedo,Brix,pH,acidez_total_g_l,pasado_tavg_7d,pasado_tmin_7d,pasado_tmax_7d,pasado_prcp_sum_7d,pasado_wspd_7d,pasado_radiacion_sum_7d,pasado_dias_calor_7d,futuro_historico_tavg_7d,futuro_historico_tmin_7d,futuro_historico_tmax_7d,futuro_historico_prcp_sum_7d,futuro_historico_wspd_7d,futuro_historico_radiacion_sum_7d,futuro_historico_dias_calor_7d,dias_hasta_cosecha
Agrelo_Malbec_001_2024_20240205,Agrelo_Malbec_001,2024,2024-02-05,seguimiento,1,Malbec,Agrelo,18.4682,3.2462,8.1103,28.5286,20.7571,35.8429,0.6,10.1429,202.78,5,25.8714,19.9714,32.4286,78.4,8.5286,152.89,3,26
Agrelo_Malbec_001_2024_20240213,Agrelo_Malbec_001,2024,2024-02-13,seguimiento,2,Malbec,Agrelo,20.254,3.3888,6.2458,25.0286,19.7,31.1,92.6,9.7571,148.92,2,23.0571,16.1429,30.2857,12.9,8.6714,177.93,0,18
Agrelo_Malbec_001_2024_20240222,Agrelo_Malbec_001,2024,2024-02-22,seguimiento,3,Malbec,Agrelo,23.9911,3.4697,5.6429,24.5286,17.8714,31.6286,13.5,7.9,169.68,0,22.4143,16.5,28.6857,3.7,9.2714,158.68,0,9
Agrelo_Malbec_001_2024_20240302,Agrelo_Malbec_001,2024,2024-03-02,cosecha,4,Malbec,Agrelo,25.0802,3.5873,4.2669,23.1571,16.7571,29.9857,5.9,8.0714,152.97,0,22.6714,16.1,29.5,0.8,8.1143,166.57,0,0
Agrelo_Malbec_002_2024_20240206,Agrelo_Malbec_002,2024,2024-02-06,seguimiento,1,Malbec,Agrelo,17.3717,3.1859,8.7164,28.5,20.7857,35.8143,0.6,9.4143,203.51,5,25.0286,19.7,31.1,92.6,9.7571,148.92,2,24
Agrelo_Malbec_002_2024_20240213,Agrelo_Malbec_002,2024,2024-02-13,seguimiento,2,Malbec,Agrelo,18.5623,3.3432,6.9305,25.0286,19.7,31.1,92.6,9.7571,148.92,2,23.0571,16.1429,30.2857,12.9,8.6714,177.93,0,17
Agrelo_Malbec_002_2024_20240221,Agrelo_Malbec_002,2024,2024-02-21,seguimiento,3,Malbec,Agrelo,21.6232,3.4815,5.7269,23.9286,17.0286,31.2286,12.9,8.0571,174.75,0,22.5429,16.7286,28.6857,2.4,9.2143,159.09,0,9
Agrelo_Malbec_002_2024_20240301,Agrelo_Malbec_002,2024,2024-03-01,cosecha,4,Malbec,Agrelo,23.6513,3.6236,4.275,22.5571,16.3714,29.3571,5.9,8.4429,151.53,0,22.6857,16.1571,29.3,0.8,8.0571,162.73,0,0
Agrelo_Malbec_003_2024_20240208,Agrelo_Malbec_003,2024,2024-02-08,seguimiento,1,Malbec,Agrelo,17.964,3.2435,8.3405,28.6714,21.1857,36.0143,0.2,8.7571,198.87,5,22.4286,17.3857,28.1857,92.4,10.1429,151.18,0,24
Agrelo_Malbec_003_2024_20240217,Agrelo_Malbec_003,2024,2024-02-17,seguimiento,2,Malbec,Agrelo,20.5672,3.3272,7.046,22.3571,16.1571,29.1286,81.3,9.2,169.82,0,23.6143,18.1,29.4143,14.3,9.4429,151.46,0,15
