muestra_id,lote_id,vendimia,fecha_medicion,tipo_muestra,numero_muestra,variedad,vinedo,Brix,pH,acidez_total_g_l,pasado_tavg_7d,pasado_tmin_7d,pasado_tmax_7d,pasado_prcp_sum_7d,pasado_wspd_7d,pasado_radiacion_sum_7d,pasado_dias_calor_7d,futuro_historico_tavg_7d,futuro_historico_tmin_7d,futuro_historico_tmax_7d,futuro_historico_prcp_sum_7d,futuro_historico_wspd_7d,futuro_historico_radiacion_sum_7d,futuro_historico_dias_calor_7d,dias_hasta_cosecha
Agrelo_Malbec_01_20260203,Agrelo_Malbec_01,2026,2026-02-03,seguimiento,1,Malbec,Agrelo,16.6638,3.1459,8.3276,23.7143,17.6143,30.2143,26.1,7.3,166.27,1,22.2571,16.3571,28.5571,1.8,10.7571,178.06,0,26
Agrelo_Malbec_01_20260211,Agrelo_Malbec_01,2026,2026-02-11,seguimiento,2,Malbec,Agrelo,19.2986,3.2036,7.3635,22.3143,15.8143,28.9143,1.6,10.3143,179.87,0,21.2714,14.3143,28.4143,17.8,9.0429,189.9,0,18
Agrelo_Malbec_01_20260220,Agrelo_Malbec_01,2026,2026-02-20,seguimiento,3,Malbec,Agrelo,21.7258,3.3352,6.5349,22.1571,15.5,29.2286,17.9,9.1571,179.92,0,20.7286,14.4571,27.1857,18.3,7.0429,154.88,0,9
Agrelo_Malbec_01_20260301,Agrelo_Malbec_01,2026,2026-03-01,cosecha,4,Malbec,Agrelo,24.0343,3.3686,5.5522,21.3714,14.4286,28.6,3.7,8.0714,165.56,0,20.6429,15.1571,26.9143,5.7,9.1571,133.67,0,0
Agrelo_Malbec_02_20260207,Agrelo_Malbec_02,2026,2026-02-07,seguimiento,1,Malbec,Agrelo,18.4207,3.1699,7.7386,21.1,16.6714,26.5286,26.1,10.2286,151.03,0,22.3,14.8,29.4286,0.1,9.6571,197.35,0,27
Agrelo_Malbec_02_20260216,Agrelo_Malbec_02,2026,2026-02-16,seguimiento,2,Malbec,Agrelo,20.7156,3.3162,6.3388,21.7714,14.7857,28.6571,5.1,9.6429,191.01,0,21.3143,15.4286,27.4857,30.7,7.9857,152.48,0,18
Agrelo_Malbec_02_20260225,Agrelo_Malbec_02,2026,2026-02-25,seguimiento,3,Malbec,Agrelo,23.2479,3.3981,4.9751,21.4571,15.6143,27.4143,18.0,8.2,148.06,0,21.7571,15.0714,29.4286,2.4,9.4429,174.27,0,9
Agrelo_Malbec_02_20260306,Agrelo_Malbec_02,2026,2026-03-06,cosecha,4,Malbec,Agrelo,24.4685,3.5415,3.9799,21.6571,15.2286,28.7,4.4,9.9714,161.88,0,19.1857,14.2143,25.1857,8.2,7.0143,113.88,0,0
Agrelo_Malbec_03_20260206,Agrelo_Malbec_03,2026,2026-02-06,seguimiento,1,Malbec,Agrelo,17.9647,3.2301,8.2876,22.1286,17.6857,27.4143,27.1,10.0714,149.57,0,22.1429,14.9857,29.2143,0.2,9.5,194.63,0,26
Agrelo_Malbec_03_20260214,Agrelo_Malbec_03,2026,2026-02-14,seguimiento,2,Malbec,Agrelo,20.109,3.3411,7.0443,22.3,14.8,29.4286,0.1,9.6571,197.35,0,21.9857,15.9714,28.5571,27.9,8.8286,167.75,0,18
